volume,eye,survival_fraction,method,n_repeats,median_repeat_mae_um,p90_repeat_mae_um,median_repeat_normalized_mae
20240530,1,0.2,nearest_visible_surface,25,0.5087795483334842,0.5305843476414156,0.03130254080739595
20240530,1,0.2,six_neighbor_depth_shared_shape,25,0.4981274929609675,0.5235250946977542,0.030206409083265207
20240530,1,0.2,six_neighbor_surface,25,0.49083304360580793,0.5319800426562319,0.029763505304636687
20240530,1,0.4,donor_template,25,0.6889684250978515,0.7247184952585809,0.040544706589027174
20240530,1,0.4,nearest_visible_surface,25,0.46181933478288467,0.4777093161090969,0.028269992884721713
20240530,1,0.4,six_neighbor_depth_shared_shape,25,0.4309334384807031,0.45415133748917097,0.02574904447822319
20240530,1,0.4,six_neighbor_surface,25,0.4187773340787415,0.45017503757523625,0.025476337308312377
20240701,0,0.01,donor_template,25,0.9552910034989792,1.201778171585776,0.06657014146004525
20240701,0,0.01,nearest_visible_surface,25,1.3285508996621345,1.6904939689941447,0.09545255879091868
20240701,0,0.01,six_neighbor_depth_shared_shape,25,1.0830616435125626,1.5055997792102964,0.07879351236609669
20240701,0,0.01,six_neighbor_surface,25,1.089487768788826,1.5471698088396197,0.0813261913997028
20240701,0,0.02,donor_template,25,0.9546281270197124,1.107317487834093,0.06738120843241403
20240701,0,0.02,nearest_visible_surface,25,1.1781210520784573,1.3376568346866873,0.08503488049876379
20240701,0,0.02,six_neighbor_depth_shared_shape,25,1.0249897134225787,1.201120336677344,0.0736363398489071
20240701,0,0.02,six_neighbor_surface,25,1.049486108925987,1.2263728019748126,0.07566666606172685
20240701,0,0.05,donor_template,25,0.9426079742746831,1.021328255265953,0.06570216928946163
20240701,0,0.05,nearest_visible_surface,25,0.9291239658622404,1.0635916896852378,0.06761802268731601
20240701,0,0.05,six_neighbor_depth_shared_shape,25,0.8614015472701333,0.9410582923620355,0.06232400111651645
20240701,0,0.05,six_neighbor_surface,25,0.880512802056495,0.9792376438715438,0.06304967695162159
20240701,0,0.1,donor_template,25,0.9366195706404407,0.9711197205399955,0.06528120550441459
20240701,0,0.1,nearest_visible_surface,25,0.8189732085368497,0.8687313532050047,0.05984659835839952
20240701,0,0.1,six_neighbor_depth_shared_shape,25,0.7732435640197853,0.8398916914512387,0.05638435773325235
20240701,0,0.1,six_neighbor_surface,25,0.7827186894483973,0.8440378589659495,0.05744480540654916
20240701,0,0.2,donor_template,25,0.9089878068210762,0.9587998494050203,0.06431751201822676
20240701,0,0.2,nearest_visible_surface,25,0.7407708739659373,0.7657815811546234,0.053781907434471546
20240701,0,0.2,six_neighbor_depth_shared_shape,25,0.6824323819547178,0.7260402300663689,0.049944772926820195
20240701,0,0.2,six_neighbor_surface,25,0.691786305507671,0.7381177295358373,0.05092166513630289
20240701,0,0.4,donor_template,25,0.9172317181075845,0.9562022160728572,0.0639369361736049
20240701,0,0.4,nearest_visible_surface,25,0.6670391735177225,0.7231881518572341,0.04906534185149965
20240701,0,0.4,six_neighbor_depth_shared_shape,25,0.6062326084868981,0.6426683091785766,0.043677066826982816
20240701,0,0.4,six_neighbor_surface,25,0.5924871303674543,0.632366619977825,0.04364145433694615
20240701,1,0.01,donor_template,25,0.9327616294119755,1.142755803082518,0.0672380659304197
20240701,1,0.01,nearest_visible_surface,25,1.1847767717233277,1.401778459414699,0.08524563128888708
20240701,1,0.01,six_neighbor_depth_shared_shape,25,0.9345951608326613,1.074567689354869,0.06776925471014598
20240701,1,0.01,six_neighbor_surface,25,0.9937925829696359,1.1205155349716922,0.06978204152368694
20240701,1,0.02,donor_template,25,0.9078644908124147,0.9565869912081847,0.06436329164375998
20240701,1,0.02,nearest_visible_surface,25,1.0184850802872467,1.1762531203298945,0.07404883190131419
20240701,1,0.02,six_neighbor_depth_shared_shape,25,0.8575826666590906,0.9479113027232676,0.06197439822180901
20240701,1,0.02,six_neighbor_surface,25,0.8923204644774325,0.9946065751019489,0.0638341616024902
20240701,1,0.05,donor_template,25,0.8830014092648513,0.9295363687469951,0.06362399755315934
20240701,1,0.05,nearest_visible_surface,25,0.8991183573674746,0.9892292402520172,0.06647770804744242
20240701,1,0.05,six_neighbor_depth_shared_shape,25,0.7848271032945441,0.8590877166916884,0.05752799216970493
20240701,1,0.05,six_neighbor_surface,25,0.8210026342717657,0.8813573937560577,0.06050822416316182
20240701,1,0.1,donor_template,25,0.8867601419187393,0.9135963124413458,0.06326775956905915
20240701,1,0.1,nearest_visible_surface,25,0.8171444138801519,0.8396572450896108,0.05986128111714208
20240701,1,0.1,six_neighbor_depth_shared_shape,25,0.7135312876004907,0.7611376347287395,0.05210569609570717
20240701,1,0.1,six_neighbor_surface,25,0.7390428235848417,0.7868882825619858,0.054428396856836245
20240701,1,0.2,donor_template,25,0.8782682635912157,0.912683585724689,0.06305263333178385
20240701,1,0.2,nearest_visible_surface,25,0.7162371739465045,0.74704913878693,0.05353920760596979
20240701,1,0.2,six_neighbor_depth_shared_shape,25,0.6420816898877826,0.6639880257417002,0.04686442228502298
20240701,1,0.2,six_neighbor_surface,25,0.661830573781615,0.6920561523534836,0.04838375623610547
20240701,1,0.4,donor_template,25,0.8802030937496172,0.9139837674433392,0.06310363381110433
20240701,1,0.4,nearest_visible_surface,25,0.6520759296647134,0.6732796223690246,0.048518113866807225
20240701,1,0.4,six_neighbor_depth_shared_shape,25,0.5921326746583452,0.6190250556821002,0.04347126633566467
20240701,1,0.4,six_neighbor_surface,25,0.5835248697317565,0.6133047663135883,0.04353734694599448
