volume,eye,repeat,survival_fraction,n_distal_graph_nodes,n_potential_donors,n_usable_target_qc_donors,n_resolvable_test_lenses,n_target_qc_test_lenses,prediction_available
20240530,1,9,0.2,801,161,160,640,632,True
20240530,1,9,0.4,801,321,317,480,475,True
20240530,1,10,0.01,801,9,9,792,783,True
20240530,1,10,0.02,801,17,17,784,775,True
20240530,1,10,0.05,801,41,41,760,751,True
20240530,1,10,0.1,801,81,81,720,711,True
20240530,1,10,0.2,801,161,161,640,631,True
20240530,1,10,0.4,801,321,319,480,473,True
20240530,1,11,0.01,801,9,9,792,783,True
20240530,1,11,0.02,801,17,16,784,776,True
20240530,1,11,0.05,801,41,40,760,752,True
20240530,1,11,0.1,801,81,79,720,713,True
20240530,1,11,0.2,801,161,158,640,634,True
20240530,1,11,0.4,801,321,317,480,475,True
20240530,1,12,0.01,801,9,9,792,783,True
20240530,1,12,0.02,801,17,16,784,776,True
20240530,1,12,0.05,801,41,40,760,752,True
20240530,1,12,0.1,801,81,80,720,712,True
20240530,1,12,0.2,801,161,160,640,632,True
20240530,1,12,0.4,801,321,317,480,475,True
20240530,1,13,0.01,801,9,9,792,783,True
20240530,1,13,0.02,801,17,17,784,775,True
20240530,1,13,0.05,801,41,41,760,751,True
20240530,1,13,0.1,801,81,80,720,712,True
20240530,1,13,0.2,801,161,159,640,633,True
20240530,1,13,0.4,801,321,319,480,473,True
20240530,1,14,0.01,801,9,9,792,783,True
20240530,1,14,0.02,801,17,16,784,776,True
20240530,1,14,0.05,801,41,40,760,752,True
20240530,1,14,0.1,801,81,80,720,712,True
20240530,1,14,0.2,801,161,159,640,633,True
20240530,1,14,0.4,801,321,319,480,473,True
20240530,1,15,0.01,801,9,9,792,783,True
20240530,1,15,0.02,801,17,17,784,775,True
20240530,1,15,0.05,801,41,41,760,751,True
20240530,1,15,0.1,801,81,81,720,711,True
20240530,1,15,0.2,801,161,160,640,632,True
20240530,1,15,0.4,801,321,318,480,474,True
20240530,1,16,0.01,801,9,9,792,783,True
20240530,1,16,0.02,801,17,17,784,775,True
20240530,1,16,0.05,801,41,41,760,751,True
20240530,1,16,0.1,801,81,81,720,711,True
20240530,1,16,0.2,801,161,160,640,632,True
20240530,1,16,0.4,801,321,319,480,473,True
20240530,1,17,0.01,801,9,9,792,783,True
20240530,1,17,0.02,801,17,17,784,775,True
20240530,1,17,0.05,801,41,41,760,751,True
20240530,1,17,0.1,801,81,80,720,712,True
20240530,1,17,0.2,801,161,160,640,632,True
20240530,1,17,0.4,801,321,318,480,474,True
20240530,1,18,0.01,801,9,8,792,784,True
20240530,1,18,0.02,801,17,16,784,776,True
20240530,1,18,0.05,801,41,40,760,752,True
20240530,1,18,0.1,801,81,80,720,712,True
