volume,eye,seed_rank,radius_hops,method,scored_lenses,median_lens_mae_um,p90_lens_mae_um,median_normalized_mae
20231107,1,3,3,six_neighbor_depth_shared_shape,37,1.3603937024003063,3.0949866782786573,0.04291613139799953
20231107,1,3,3,six_neighbor_surface,37,1.3587737091752454,3.102049826023109,0.04286502572029174
20231107,1,4,1,axisymmetric_ellipsoid,7,30.972366479351365,33.41678949290907,0.9964494735551864
20231107,1,4,1,graph_harmonic_depth_shared_shape,7,2.0733701331794623,3.295110450587839,0.0645104348150922
20231107,1,4,1,nearest_visible_surface,7,2.095956949239144,4.810399815267852,0.07274464972194696
20231107,1,4,1,same_eye_outer_ridge,7,1.1962218534495561,5.363532272761069,0.03663226360958951
20231107,1,4,1,same_eye_template,7,3.5296069322955255,5.8798658596121145,0.1088368364988162
20231107,1,4,1,six_neighbor_depth_shared_shape,7,2.0628007238846093,3.0255606010190754,0.06418158027125632
20231107,1,4,1,six_neighbor_surface,7,2.031378495896659,3.058524281436769,0.06320391518487198
20231107,1,4,2,axisymmetric_ellipsoid,19,32.08393354954538,35.04095909556275,0.9803535527428168
20231107,1,4,2,graph_harmonic_depth_shared_shape,19,1.7024924539631772,4.167067484569338,0.05249703335434872
20231107,1,4,2,nearest_visible_surface,19,2.334918935368229,4.88531222283194,0.07517045579456104
20231107,1,4,2,same_eye_outer_ridge,19,2.692972414138609,6.824600331800392,0.09245534640824922
20231107,1,4,2,same_eye_template,19,4.636952844643668,7.924327745110178,0.13776494842174608
20231107,1,4,2,six_neighbor_depth_shared_shape,19,1.7684549361163395,3.8750333824828496,0.05374966695609713
20231107,1,4,2,six_neighbor_surface,19,1.8059786287582928,3.870352190218761,0.05568807079905898
20231107,1,4,3,axisymmetric_ellipsoid,37,32.071774222156364,35.38470152551258,0.9705335047728237
20231107,1,4,3,graph_harmonic_depth_shared_shape,37,1.9191815543968853,3.9529545546456415,0.05721173438029465
20231107,1,4,3,nearest_visible_surface,37,2.416620459679289,6.358195041277535,0.07158908615776798
20231107,1,4,3,same_eye_outer_ridge,37,2.935727693450756,7.223334504716844,0.09340472399572951
20231107,1,4,3,same_eye_template,37,4.736332500415328,8.065768603705848,0.14044602010384746
20231107,1,4,3,six_neighbor_depth_shared_shape,37,2.0166887282397394,5.018549902606543,0.060906252977775674
20231107,1,4,3,six_neighbor_surface,37,2.1535187421506508,5.0307303770247565,0.06528594342478329
