cohort,volume,radius_hops,method,n_eyes,n_patches,n_lenses,median_lens_mae_um,p90_lens_mae_um,median_normalized_mae,median_central_depth_abs_error_um,median_normal_error_degrees,median_target_depth_um
primary_target_qc,20240701,1,axisymmetric_ellipsoid,2,16,112,10.234971417740711,13.546219388540367,0.7285009938664682,10.442464015819604,8.589270795357937,13.641502835403227
primary_target_qc,20240701,1,graph_harmonic_depth_shared_shape,2,16,112,0.47961975745192775,0.9809793970723975,0.036296460863812365,0.3885871217084036,7.248830912556078,13.641502835403227
primary_target_qc,20240701,1,nearest_visible_surface,2,16,112,0.6429926595893496,1.423878909424835,0.04563808824779432,0.58508720237133,7.2919440004405445,13.641502835403227
primary_target_qc,20240701,1,same_eye_outer_ridge,2,16,112,0.6763584226371511,1.629000415792235,0.051047438403397136,0.6309663838462232,8.378655428385489,13.641502835403227
primary_target_qc,20240701,1,same_eye_template,2,16,112,0.6349023504146675,1.5546819103317098,0.046870387061951194,0.5444796363257343,7.539953376872089,13.641502835403227
primary_target_qc,20240701,1,six_neighbor_depth_shared_shape,2,16,112,0.5121591487677297,1.0091410996621892,0.03846039746902068,0.4292465380385986,7.248830912556078,13.641502835403227
primary_target_qc,20240701,1,six_neighbor_surface,2,16,112,0.4673387734452522,1.0382281598716865,0.03449454829522572,0.3746893640766489,6.511519036720969,13.641502835403227
primary_target_qc,20240701,2,axisymmetric_ellipsoid,2,16,304,10.163739862291669,13.653344099772454,0.7184492531366282,10.282036387590527,8.649576287399547,13.68159704631805
primary_target_qc,20240701,2,graph_harmonic_depth_shared_shape,2,16,304,0.5061638863049017,1.3245614764855131,0.035452826853661946,0.4102232159128052,7.135249053436928,13.68159704631805
primary_target_qc,20240701,2,nearest_visible_surface,2,16,304,0.6556382772153778,1.609144952737105,0.04769528431808984,0.5726109465142173,7.6799704942676215,13.68159704631805
primary_target_qc,20240701,2,same_eye_outer_ridge,2,16,304,0.6826665007958643,1.89690948001561,0.050151883784086984,0.5868500579876832,8.277237513057404,13.68159704631805
primary_target_qc,20240701,2,same_eye_template,2,16,304,0.6699004399732311,1.8265479714788302,0.04765968574294487,0.6030880083542618,7.413792806035499,13.68159704631805
primary_target_qc,20240701,2,six_neighbor_depth_shared_shape,2,16,304,0.5234027780484787,1.3610051608308895,0.03868914849107567,0.47876192473423274,7.135249053436954,13.68159704631805
primary_target_qc,20240701,2,six_neighbor_surface,2,16,304,0.5215503447066306,1.3326563842220576,0.038468051653055876,0.47402664571707565,6.363219054557434,13.68159704631805
primary_target_qc,20240701,3,axisymmetric_ellipsoid,2,16,592,9.466846910405575,13.67848723327431,0.7096795427965038,9.846024730847377,8.614097836888416,13.79522178541822
primary_target_qc,20240701,3,graph_harmonic_depth_shared_shape,2,16,592,0.5497837211128798,1.4805865256472042,0.038533405818635666,0.4677278622559635,7.046277874476636,13.79522178541822
primary_target_qc,20240701,3,nearest_visible_surface,2,16,592,0.727088115019763,1.9102534300061855,0.05299962287305045,0.6476035146829417,7.899651147780245,13.79522178541822
primary_target_qc,20240701,3,same_eye_outer_ridge,2,16,592,0.7235367857446724,1.8654876896219807,0.05207929044049201,0.625548141732577,8.356157390167386,13.79522178541822
primary_target_qc,20240701,3,same_eye_template,2,16,592,0.6986526105849844,1.8728409359931728,0.0520674846485777,0.6332846295275534,7.445113110353827,13.79522178541822
