cohort,volume,radius_hops,method,n_lens_predictions,median_lens_mae_um,p90_lens_mae_um,median_normalized_mae,median_target_depth_um
all_target_resolvable,20231107,2,six_neighbor_depth_shared_shape,256,3.1633250962405635,14.86714075016927,0.1543087653352337,23.053423023589783
all_target_resolvable,20231107,2,six_neighbor_surface,256,3.0841311991554274,14.83776093107655,0.15148355892400422,23.053423023589783
all_target_resolvable,20231107,3,axisymmetric_ellipsoid,460,22.505630312761504,30.378910884409706,0.9428207519580829,24.231801693764396
all_target_resolvable,20231107,3,graph_harmonic_depth_shared_shape,460,2.5194369386120314,13.973777032718791,0.09332450803656503,24.231801693764396
all_target_resolvable,20231107,3,nearest_visible_surface,460,2.9644298164026672,13.879676592158182,0.12052486230559487,24.231801693764396
all_target_resolvable,20231107,3,same_eye_outer_ridge,460,4.412795681472103,13.422285132564621,0.17352484326108847,24.231801693764396
all_target_resolvable,20231107,3,same_eye_template,460,5.519303538130047,16.18889270198343,0.22171715963699246,24.231801693764396
all_target_resolvable,20231107,3,six_neighbor_depth_shared_shape,460,2.7297728877128606,14.044762648814643,0.10831536295820865,24.231801693764396
all_target_resolvable,20231107,3,six_neighbor_surface,460,2.7279248575263138,14.052810508987386,0.10911159823265214,24.231801693764396
all_target_resolvable,20240530,1,axisymmetric_ellipsoid,104,12.25282628243262,25.310374448235564,0.8790584892070478,13.243397831198202
all_target_resolvable,20240530,1,graph_harmonic_depth_shared_shape,104,1.6643248919538873,5.587472871258087,0.09777824576115438,13.243397831198202
all_target_resolvable,20240530,1,nearest_visible_surface,104,1.1724547082488266,5.8883591359579635,0.08552469186806083,13.243397831198202
all_target_resolvable,20240530,1,same_eye_outer_ridge,104,1.2567365652719857,3.3589643394509263,0.08914966356545376,13.243397831198202
all_target_resolvable,20240530,1,same_eye_template,104,3.216507622858832,6.696355580658076,0.24140778263266222,13.243397831198202
all_target_resolvable,20240530,1,six_neighbor_depth_shared_shape,104,1.6717791637028163,5.68634330207445,0.1008343689981828,13.243397831198202
all_target_resolvable,20240530,1,six_neighbor_surface,104,1.425571963941087,5.43450012056339,0.08241963092843298,13.243397831198202
all_target_resolvable,20240530,2,axisymmetric_ellipsoid,258,11.397101027252216,24.555320793113776,0.7937876760303717,14.832129628879372
all_target_resolvable,20240530,2,graph_harmonic_depth_shared_shape,258,1.2818291586829245,5.536453653954871,0.08056438563553836,14.832129628879372
all_target_resolvable,20240530,2,nearest_visible_surface,258,1.000916650713033,6.121826227558882,0.061538501730530576,14.832129628879372
all_target_resolvable,20240530,2,same_eye_outer_ridge,258,1.2429493648081837,3.421460780006188,0.08799639625135237,14.832129628879372
all_target_resolvable,20240530,2,same_eye_template,258,2.012606143939644,6.430903355002273,0.12553484710900897,14.832129628879372
all_target_resolvable,20240530,2,six_neighbor_depth_shared_shape,258,1.2913461431557056,5.699906606295747,0.07868853414231423,14.832129628879372
all_target_resolvable,20240530,2,six_neighbor_surface,258,1.1115724314633217,5.40360168602028,0.07643865384102946,14.832129628879372
all_target_resolvable,20240530,3,axisymmetric_ellipsoid,471,11.313768488177786,23.242796441135987,0.7684451468753047,15.946071097571583
all_target_resolvable,20240530,3,graph_harmonic_depth_shared_shape,471,1.1103923425358453,5.383107769723085,0.06669021692252794,15.946071097571583
all_target_resolvable,20240530,3,nearest_visible_surface,471,0.8604203069133511,5.765951154838608,0.05567009642109271,15.946071097571583
all_target_resolvable,20240530,3,same_eye_outer_ridge,471,1.0817464648742743,3.178154335804034,0.06561805003220757,15.946071097571583
all_target_resolvable,20240530,3,same_eye_template,471,1.4408803691851872,6.413412173987348,0.08528527655840396,15.946071097571583
all_target_resolvable,20240530,3,six_neighbor_depth_shared_shape,471,1.1084961187544589,5.427360707700915,0.06522199683730344,15.946071097571583
all_target_resolvable,20240530,3,six_neighbor_surface,471,1.01324145484626,5.1531075993170035,0.06211035848614253,15.946071097571583
all_target_resolvable,20240701,1,axisymmetric_ellipsoid,99,8.727799348177243,24.506374402825163,0.7100072199144102,12.444509403509509
all_target_resolvable,20240701,1,graph_harmonic_depth_shared_shape,99,1.7469027569648732,5.093437253986813,0.1434615050593231,12.444509403509509
all_target_resolvable,20240701,1,nearest_visible_surface,99,1.5900609373812802,5.266104603916487,0.11447240237372443,12.444509403509509
all_target_resolvable,20240701,1,same_eye_outer_ridge,99,1.5813941906492475,3.3631509178892474,0.11635136840667801,12.444509403509509
all_target_resolvable,20240701,1,same_eye_template,99,2.9232165616904098,5.05956166550781,0.23268176015321157,12.444509403509509
all_target_resolvable,20240701,1,six_neighbor_depth_shared_shape,99,1.778348966595468,5.122179690158572,0.153713719581061,12.444509403509509
all_target_resolvable,20240701,1,six_neighbor_surface,99,1.503451321595137,4.785702182593126,0.11073605003059894,12.444509403509509
all_target_resolvable,20240701,2,axisymmetric_ellipsoid,254,7.404893587373245,23.93265136825001,0.5630798979963296,13.294932428287648
all_target_resolvable,20240701,2,graph_harmonic_depth_shared_shape,254,1.4201927483401309,4.727753416594119,0.10468056293545433,13.294932428287648
all_target_resolvable,20240701,2,nearest_visible_surface,254,1.094352812263623,4.574544499926907,0.08369801181124964,13.294932428287648
all_target_resolvable,20240701,2,same_eye_outer_ridge,254,1.4216762106383813,2.94527324696993,0.10601747423851436,13.294932428287648
all_target_resolvable,20240701,2,same_eye_template,254,2.076463183236533,4.924326842562883,0.14721151144324596,13.294932428287648
all_target_resolvable,20240701,2,six_neighbor_depth_shared_shape,254,1.5331704307099638,4.731121297339302,0.11231193523071183,13.294932428287648
all_target_resolvable,20240701,2,six_neighbor_surface,254,1.3140101867622775,4.3531337227866524,0.09929966268559494,13.294932428287648
all_target_resolvable,20240701,3,axisymmetric_ellipsoid,463,7.473245374711089,18.10945969046175,0.575843837791738,13.608667008648911
all_target_resolvable,20240701,3,graph_harmonic_depth_shared_shape,463,1.422296684308094,4.598132920799773,0.10288824124617907,13.608667008648911
