lens_id,block,z,x,radius_voxels,method,target_valid,mae_voxels,median_target_thickness_voxels,nonpositive_predicted_thickness_fraction
22,1,360,314,20.450166579689984,outer_ellipsoid,True,19.193963963784476,22.0,0.0
22,1,360,314,20.450166579689984,frozen_training_template,True,4.189564690920948,22.0,0.0
22,1,360,314,20.450166579689984,frozen_outer_geometry,True,1.490164360376423,22.0,0.0
23,1,362,70,21.157698789544618,outer_ellipsoid,True,20.716599307353572,19.929908024819895,0.0
23,1,362,70,21.157698789544618,frozen_training_template,True,4.748734850973562,19.929908024819895,0.0
23,1,362,70,21.157698789544618,frozen_outer_geometry,True,3.1817210908392,19.929908024819895,0.0
24,1,363,353,19.959278387741215,outer_ellipsoid,True,21.758126633819092,22.380003665470895,0.0
24,1,363,353,19.959278387741215,frozen_training_template,True,4.573045229344593,22.380003665470895,0.0
24,1,363,353,19.959278387741215,frozen_outer_geometry,True,1.8442039780263217,22.380003665470895,0.0
25,1,364,393,19.814556080355203,outer_ellipsoid,True,24.82952573539761,21.925575173079977,0.0
25,1,364,393,19.814556080355203,frozen_training_template,True,4.827260642950628,21.925575173079977,0.0
25,1,364,393,19.814556080355203,frozen_outer_geometry,True,2.1218276710646085,21.925575173079977,0.0
26,1,365,172,21.42589956142578,outer_ellipsoid,True,19.343584270629602,21.000748122800758,0.0
26,1,365,172,21.42589956142578,frozen_training_template,True,4.226950315641742,21.000748122800758,0.0
26,1,365,172,21.42589956142578,frozen_outer_geometry,True,2.2897696604402213,21.000748122800758,0.0
27,1,379,212,20.792849077394116,outer_ellipsoid,True,20.516561739941327,20.53400677498894,0.0
27,1,379,212,20.792849077394116,frozen_training_template,True,4.318640836049813,20.53400677498894,0.0
27,1,379,212,20.792849077394116,frozen_outer_geometry,True,2.4550001854704124,20.53400677498894,0.0
28,1,380,109,21.33317584766581,outer_ellipsoid,True,23.092525402479374,20.052886426675997,0.0
28,1,380,109,21.33317584766581,frozen_training_template,True,4.56397605367997,20.052886426675997,0.0
28,1,380,109,21.33317584766581,frozen_outer_geometry,True,3.073525750316093,20.052886426675997,0.0
29,1,387,252,20.350009279309045,outer_ellipsoid,True,17.745023875843167,21.45299610269018,0.0
29,1,387,252,20.350009279309045,frozen_training_template,True,4.421669684805153,21.45299610269018,0.0
29,1,387,252,20.350009279309045,frozen_outer_geometry,True,2.0812112630968684,21.45299610269018,0.0
30,1,389,46,20.728986398801307,outer_ellipsoid,True,22.078920273649523,19.391767616671274,0.0
30,1,389,46,20.728986398801307,frozen_training_template,True,4.769484972522909,19.391767616671274,0.0
30,1,389,46,20.728986398801307,frozen_outer_geometry,True,3.1553536464001906,19.391767616671274,0.0
31,1,394,149,21.18962010041709,outer_ellipsoid,True,20.35788512208385,21.100359557824845,0.0
31,1,394,149,21.18962010041709,frozen_training_template,True,4.331841580504259,21.100359557824845,0.0
31,1,394,149,21.18962010041709,frozen_outer_geometry,True,2.327814299823395,21.100359557824845,0.0
32,1,394,292,20.328536470647286,outer_ellipsoid,True,22.468939140221867,21.462014682328117,0.0
32,1,394,292,20.328536470647286,frozen_training_template,True,4.923852646546564,21.462014682328117,0.0
32,1,394,292,20.328536470647286,frozen_outer_geometry,True,2.5514817012812387,21.462014682328117,0.0
33,1,397,333,19.91839051939725,outer_ellipsoid,True,26.41921439020776,21.922676679767562,0.0
33,1,397,333,19.91839051939725,frozen_training_template,True,4.696774440172068,21.922676679767562,0.0
33,1,397,333,19.91839051939725,frozen_outer_geometry,True,1.8385708452139167,21.922676679767562,0.0
34,1,397,411,19.230827133545965,outer_ellipsoid,True,21.15785076206132,22.92305260391072,0.0
34,1,397,411,19.230827133545965,frozen_training_template,True,5.209666945609814,22.92305260391072,0.0
34,1,397,411,19.230827133545965,frozen_outer_geometry,True,2.6221081677363767,22.92305260391072,0.0
35,1,398,373,19.640345069461983,outer_ellipsoid,True,24.080273249115244,22.563027164354793,0.0
35,1,398,373,19.640345069461983,frozen_training_template,True,4.933780657518467,22.563027164354793,0.0
35,1,398,373,19.640345069461983,frozen_outer_geometry,True,2.022215647808451,22.563027164354793,0.0
36,2,407,85,21.276985251636262,outer_ellipsoid,True,28.40275771844856,20.063666194312788,0.0
36,2,407,85,21.276985251636262,frozen_training_template,True,4.773035370635517,20.063666194312788,0.0
36,2,407,85,21.276985251636262,frozen_outer_geometry,True,3.044082135568498,20.063666194312788,0.0
37,2,408,189,21.14528397321314,outer_ellipsoid,True,25.676326094085894,21.918769707173283,0.0
37,2,408,189,21.14528397321314,frozen_training_template,True,4.972238123864631,21.918769707173283,0.0
37,2,408,189,21.14528397321314,frozen_outer_geometry,True,2.7525099651231493,21.918769707173283,0.0
38,2,418,230,20.805646319792036,outer_ellipsoid,True,23.668926370340504,21.18963002955124,0.0
38,2,418,230,20.805646319792036,frozen_training_template,True,4.702453052598175,21.18963002955124,0.0
38,2,418,230,20.805646319792036,frozen_outer_geometry,True,2.290658623936566,21.18963002955124,0.0
39,2,423,124,21.21862413582591,outer_ellipsoid,True,27.65953161092647,21.06569665131542,0.0
39,2,423,124,21.21862413582591,frozen_training_template,True,5.252440065944137,21.06569665131542,0.0
39,2,423,124,21.21862413582591,frozen_outer_geometry,True,3.2900024306050133,21.06569665131542,0.0
40,2,425,271,19.9171565124504,outer_ellipsoid,False,,,0.0
40,2,425,271,19.9171565124504,frozen_training_template,False,,,0.0
40,2,425,271,19.9171565124504,frozen_outer_geometry,False,,,0.0
41,2,430,311,19.993088192899158,outer_ellipsoid,True,30.097755774789647,22.31921464137693,0.0
41,2,430,311,19.993088192899158,frozen_training_template,True,4.941462428425186,22.31921464137693,0.0
41,2,430,311,19.993088192899158,frozen_outer_geometry,True,2.228346453064214,22.31921464137693,0.0
42,2,431,352,19.694069615329944,outer_ellipsoid,True,26.968502443260572,23.332906817799255,0.0
42,2,431,352,19.694069615329944,frozen_training_template,True,5.158939097296752,23.332906817799255,0.0
42,2,431,352,19.694069615329944,frozen_outer_geometry,True,2.0631856618794346,23.332906817799255,0.0
43,2,431,392,19.088545986832205,outer_ellipsoid,True,28.070159403547244,24.005335808113927,0.0
43,2,431,392,19.088545986832205,frozen_training_template,True,5.937653988129184,24.005335808113927,0.0
43,2,431,392,19.088545986832205,frozen_outer_geometry,True,2.6039319652772632,24.005335808113927,0.0
44,2,432,59,21.007655729741046,outer_ellipsoid,True,26.403146335697677,21.013890130000902,0.0
44,2,432,59,21.007655729741046,frozen_training_template,True,4.858227259581703,21.013890130000902,0.0
44,2,432,59,21.007655729741046,frozen_outer_geometry,True,3.2204026048207197,21.013890130000902,0.0
45,2,436,165,21.16023573205261,outer_ellipsoid,True,27.10571548536841,21.28360062847571,0.0
45,2,436,165,21.16023573205261,frozen_training_template,True,4.641889754723942,21.28360062847571,0.0
45,2,436,165,21.16023573205261,frozen_outer_geometry,True,2.6524231828767286,21.28360062847571,0.0
46,2,447,207,20.55776406404415,outer_ellipsoid,True,26.59717310223595,21.365739093101467,0.0
46,2,447,207,20.55776406404415,frozen_training_template,True,5.049137319934619,21.365739093101467,0.0
46,2,447,207,20.55776406404415,frozen_outer_geometry,True,2.5412727499845853,21.365739093101467,0.0
47,2,449,99,20.953984727758876,outer_ellipsoid,True,28.14443509540581,21.0,0.0
47,2,449,99,20.953984727758876,frozen_training_template,True,5.268483284018635,21.0,0.0
47,2,449,99,20.953984727758876,frozen_outer_geometry,True,3.474104447753234,21.0,0.0
48,2,456,247,20.05114789195633,outer_ellipsoid,True,26.597568787308347,21.771357180504467,0.0
48,2,456,247,20.05114789195633,frozen_training_template,True,5.154809883434883,21.771357180504467,0.0
48,2,456,247,20.05114789195633,frozen_outer_geometry,True,2.6899449699517364,21.771357180504467,0.0
